step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,moe-riemannian,4,1,0.9341078996658325,0.8946599364280701,0.25,1.3843226432800293,2.0734777450561523,30,30,0.25207245349884033,0.1013031080365181,0.08318167179822922,32,32,0.2437567114830017,0.08829773962497711,0.06475193053483963,30,30,0.25747978687286377,0.10451418906450272,0.10842106491327286,35,35,0.24739478528499603,0.11053731292486191,0.11442695558071136,38,38,0.2504463195800781,0.08909466862678528,0.09579896181821823,29,29,0.24344894289970398,0.08237288892269135,0.09447561204433441,30,30,0.2508235275745392,0.09609979391098022,0.08634620904922485,32,32,0.2547723054885864,0.1209004744887352,0.13555358350276947
10,moe-riemannian,4,1,0.9375112056732178,0.875372052192688,0.25,1.3840296268463135,2.0730528831481934,30,317,0.24430608749389648,0.10543836653232574,0.4994528591632843,37,358,0.243934765458107,0.10519104450941086,0.4203469455242157,29,275,0.26346784830093384,0.10386736690998077,0.4966018497943878,22,343,0.25319164991378784,0.07809625566005707,0.4069801867008209,40,353,0.2506108582019806,0.13082072138786316,0.8695878386497498,32,314,0.242693230509758,0.09278333187103271,0.6488516926765442,36,322,0.2502778172492981,0.12730033695697784,0.5765788555145264,30,278,0.25446099042892456,0.1414543241262436,0.7950339913368225
20,moe-riemannian,4,1,0.7804465293884277,0.8341370820999146,0.25,1.3838924169540405,2.073610782623291,26,638,0.24465051293373108,0.1225849837064743,0.669474184513092,34,719,0.2439528852701187,0.15045952796936035,0.8102859854698181,30,589,0.2527744174003601,0.0956813246011734,0.45133477449417114,33,673,0.2524787187576294,0.18503747880458832,0.9153351783752441,43,734,0.24944914877414703,0.17374972999095917,0.9746402502059937,30,571,0.24131053686141968,0.12812377512454987,0.7455658316612244,29,635,0.2573697566986084,0.09702181071043015,0.7188394665718079,31,561,0.2580743730068207,0.17532113194465637,0.91202712059021
30,moe-riemannian,4,1,0.8088429570198059,0.7808815836906433,0.25,1.3837010860443115,2.0734901428222656,31,943,0.2466653287410736,0.20794211328029633,0.8141912817955017,38,1071,0.2434503585100174,0.21156761050224304,0.9271465539932251,29,903,0.25551295280456543,0.12015916407108307,0.6521801352500916,26,1002,0.2540387511253357,0.17463770508766174,0.8220098614692688,40,1099,0.25129595398902893,0.23329834640026093,0.8810890913009644,30,867,0.2427722066640854,0.16652071475982666,0.843077540397644,30,928,0.2541314661502838,0.12856343388557434,0.7454617023468018,32,867,0.25401341915130615,0.23792508244514465,0.7685258984565735
40,moe-riemannian,4,1,0.8015161752700806,0.7332088947296143,0.25,1.3836228847503662,2.0730903148651123,36,1280,0.24497029185295105,0.2472870796918869,0.9861602783203125,37,1449,0.24108819663524628,0.17524473369121552,0.7861266136169434,30,1194,0.25583598017692566,0.1547248363494873,0.6666861176490784,34,1326,0.24963131546974182,0.1629934459924698,0.7321928143501282,39,1461,0.25928795337677,0.23057904839515686,0.948806881904602,25,1158,0.24074901640415192,0.15351317822933197,0.6252816319465637,28,1227,0.24581649899482727,0.10444021224975586,0.6730374693870544,27,1145,0.26238685846328735,0.2653590142726898,0.8108401298522949
50,moe-riemannian,4,1,0.8112452030181885,0.697268009185791,0.25,1.3840497732162476,2.07319712638855,39,1610,0.24418231844902039,0.38663628697395325,1.1341427564620972,31,1802,0.2428484708070755,0.24481463432312012,0.6917781829833984,24,1512,0.2595711052417755,0.17742285132408142,0.6311706900596619,36,1656,0.2548704445362091,0.2432268112897873,0.8280951380729675,29,1791,0.2555620074272156,0.2719194293022156,0.7585110664367676,35,1469,0.244887113571167,0.38047516345977783,1.168702244758606,31,1515,0.24778273701667786,0.2541964054107666,1.0757731199264526,31,1445,0.2541913390159607,0.4159512519836426,1.0224939584732056
60,moe-riemannian,4,1,0.619233250617981,0.6673098802566528,0.25,1.3836759328842163,2.072923183441162,30,1907,0.2464255839586258,0.13144159317016602,0.582149088382721,35,2176,0.23901738226413727,0.13146911561489105,0.624226987361908,31,1802,0.25686115026474,0.12912671267986298,0.5313287973403931,31,1991,0.25516077876091003,0.1808822900056839,0.5889900326728821,42,2151,0.2555263936519623,0.21788130700588226,0.6173380613327026,23,1762,0.24128346145153046,0.13167467713356018,0.48323890566825867,31,1835,0.2534756064414978,0.18490983545780182,0.6362224221229553,33,1736,0.24938097596168518,0.16114652156829834,0.5049132108688354
70,moe-riemannian,4,1,0.7571690678596497,0.646981418132782,0.25,1.3835618495941162,2.0729598999023438,33,2220,0.2455853521823883,0.16990350186824799,0.6947252750396729,32,2546,0.24301886558532715,0.19551992416381836,0.6222905516624451,31,2125,0.253744900226593,0.22369572520256042,0.6270822286605835,30,2325,0.2530924677848816,0.15852011740207672,0.6132767200469971,39,2495,0.2583973705768585,0.23143906891345978,0.7287396192550659,30,2046,0.24268096685409546,0.23906072974205017,0.7270572185516357,28,2133,0.2503170073032379,0.18527813255786896,0.5221996903419495,33,2030,0.25131550431251526,0.29760855436325073,0.8237329721450806
80,moe-riemannian,4,1,0.6349009275436401,0.6305676698684692,0.25,1.3829702138900757,2.072054147720337,29,2544,0.24213077127933502,0.1355077028274536,0.5033667087554932,34,2911,0.23885199427604675,0.17471112310886383,0.5602015256881714,29,2420,0.24718455970287323,0.18966661393642426,0.6298242807388306,35,2674,0.24847069382667542,0.21231769025325775,0.6776221990585327,34,2825,0.26681751012802124,0.3431593179702759,0.6961067318916321,27,2347,0.24339145421981812,0.2528359889984131,0.6692569851875305,35,2461,0.25131040811538696,0.2825767397880554,0.737755298614502,33,2298,0.25918740034103394,0.18594315648078918,0.5005312561988831
90,moe-riemannian,4,1,0.552897572517395,0.61311936378479,0.25,1.3832957744598389,2.0728893280029297,22,2858,0.24616827070713043,0.123354971408844,0.39070409536361694,45,3269,0.2440672516822815,0.18599167466163635,0.6193773746490479,27,2726,0.26573023200035095,0.2850078344345093,0.5742381811141968,34,3019,0.25322774052619934,0.19854046404361725,0.508332371711731,34,3144,0.25678011775016785,0.2560887634754181,0.5167636275291443,29,2650,0.24033254384994507,0.22366838157176971,0.6114877462387085,42,2786,0.24639947712421417,0.21752884984016418,0.5826081037521362,23,2588,0.2507767975330353,0.20703232288360596,0.5172210335731506
