step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,4,3,1.2568113803863525,nan,nan,-0.006109212525188923,0,0,28
20,moe-riemannian,4,3,1.0817863941192627,0.449472039937973,0.3858591616153717,-0.04647929593920708,7168,28,28
40,moe-riemannian,4,3,0.9393803477287292,0.5026155710220337,0.46999770402908325,-0.053785450756549835,7168,28,28
60,moe-riemannian,4,3,0.8849379420280457,0.46747007966041565,0.44914230704307556,-0.018068505451083183,7168,28,28
80,moe-riemannian,4,3,0.8549517393112183,0.4389297068119049,0.42592182755470276,-0.011896525509655476,7168,28,28
100,moe-riemannian,4,3,0.8278040885925293,0.411598801612854,0.40526261925697327,0.005980147048830986,7168,28,28
120,moe-riemannian,4,3,0.7987129092216492,0.38169848918914795,0.38268977403640747,0.013615638948976994,7168,28,28
140,moe-riemannian,4,3,0.7749449610710144,0.3532964885234833,0.3605099022388458,0.01423349417746067,7168,28,28
160,moe-riemannian,4,3,0.7561311721801758,0.32699090242385864,0.33938512206077576,0.01636425219476223,7168,28,28
180,moe-riemannian,4,3,0.7438503503799438,0.31183430552482605,0.32863351702690125,-0.0028808671049773693,7168,28,28
200,moe-riemannian,4,3,0.7306047677993774,0.2892394959926605,0.31339189410209656,-0.004762875381857157,7168,28,28
220,moe-riemannian,4,3,0.7163172960281372,0.2742389142513275,0.2993452250957489,-0.0030861073173582554,7168,28,28
240,moe-riemannian,4,3,0.7052626609802246,0.25697168707847595,0.28723180294036865,-0.009827163070440292,7168,28,28
260,moe-riemannian,4,3,0.6946460008621216,0.24191029369831085,0.27594226598739624,-0.014186032116413116,7168,28,28
280,moe-riemannian,4,3,0.6852550506591797,0.22789962589740753,0.26294487714767456,-0.018880827352404594,7168,28,28
300,moe-riemannian,4,3,0.6769213676452637,0.21429388225078583,0.25306206941604614,-0.02152690477669239,7168,28,28
