step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,8,1,0.9297115802764893,nan,nan,-0.048916153609752655,0,0,28
20,riemannian,8,1,0.9152689576148987,0.24259860813617706,0.16234394907951355,-0.050780825316905975,7168,28,28
40,riemannian,8,1,0.8867756128311157,0.3546920418739319,0.26973557472229004,-0.05327734723687172,7168,28,28
60,riemannian,8,1,0.8492682576179504,0.44178256392478943,0.3692152202129364,-0.047904547303915024,7168,28,28
80,riemannian,8,1,0.8155688643455505,0.4854818880558014,0.4270693361759186,-0.04152292758226395,7168,28,28
100,riemannian,8,1,0.7821439504623413,0.5180318355560303,0.4726618528366089,-0.03284646198153496,7168,28,28
120,riemannian,8,1,0.7554712295532227,0.5377235412597656,0.49687138199806213,-0.026312094181776047,7168,28,28
140,riemannian,8,1,0.7363064289093018,0.5462995767593384,0.5121967196464539,-0.01856042817234993,7168,28,28
160,riemannian,8,1,0.721465528011322,0.5527219772338867,0.5242701768875122,-0.010200262069702148,7168,28,28
180,riemannian,8,1,0.7100352048873901,0.5508978366851807,0.5278139710426331,-0.006176472175866365,7168,28,28
200,riemannian,8,1,0.6994754076004028,0.5504316687583923,0.5299179553985596,-0.006742658093571663,7168,28,28
220,riemannian,8,1,0.6912930011749268,0.5501755475997925,0.5325416326522827,-0.010731997899711132,7168,28,28
240,riemannian,8,1,0.6844297647476196,0.5450282096862793,0.5310842394828796,-0.014768026769161224,7168,28,28
260,riemannian,8,1,0.6796133518218994,0.5415780544281006,0.5308818817138672,-0.022969014942646027,7168,28,28
280,riemannian,8,1,0.6745607852935791,0.5355867743492126,0.526303231716156,-0.02680838853120804,7168,28,28
300,riemannian,8,1,0.6695801019668579,0.527538537979126,0.5193769335746765,-0.030455222353339195,7168,28,28
