step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,riemannian,8,4,0.6977916955947876,0.8889155983924866,0.1249999925494194,2.0726771354675293,2.0726771354675293,64,64,0.1244671493768692,0.039164572954177856,0.037560805678367615,64,64,0.1227809265255928,0.036845386028289795,0.03921084851026535,64,64,0.1190948337316513,0.022987447679042816,0.03297886997461319,64,64,0.1328163594007492,0.03579767420887947,0.0497235506772995,64,64,0.12064401805400848,0.026716383174061775,0.03216062858700752,64,64,0.12500408291816711,0.029270300641655922,0.031710173934698105,64,64,0.1283678561449051,0.030388735234737396,0.042573072016239166,64,64,0.1268247663974762,0.03712787106633186,0.04028349742293358
10,riemannian,8,4,0.644615650177002,0.8831733465194702,0.1249999925494194,2.0737829208374023,2.0737829208374023,64,640,0.1273995339870453,0.03661318123340607,0.11824493855237961,64,640,0.12556397914886475,0.04375623166561127,0.1110982596874237,64,640,0.12086302042007446,0.025920899584889412,0.11344067752361298,64,640,0.13026383519172668,0.03227092698216438,0.13584740459918976,64,640,0.11854410916566849,0.027431203052401543,0.12822787463665009,64,640,0.12741497159004211,0.03225148096680641,0.11358194053173065,64,640,0.12420576065778732,0.028947291895747185,0.1271481066942215,64,640,0.1257447898387909,0.03275851905345917,0.12930002808570862
20,riemannian,8,4,0.9748425483703613,0.8736361265182495,0.125,2.0739312171936035,2.0739312171936035,64,1280,0.1248064860701561,0.04034966975450516,0.2382631152868271,64,1280,0.12213385850191116,0.042510949075222015,0.21125556528568268,64,1280,0.1180293932557106,0.026836704462766647,0.2501368224620819,64,1280,0.13123515248298645,0.04435776546597481,0.24602429568767548,64,1280,0.12311045825481415,0.03956850990653038,0.2692832350730896,64,1280,0.12511040270328522,0.034430041909217834,0.21523796021938324,64,1280,0.12409389019012451,0.045829713344573975,0.274091511964798,64,1280,0.1314803510904312,0.04400491714477539,0.26202628016471863
30,riemannian,8,4,0.995458722114563,0.8564914464950562,0.125,2.0727932453155518,2.0727932453155518,64,1920,0.12658892571926117,0.07501322776079178,0.43020784854888916,64,1920,0.12294049561023712,0.06143537163734436,0.40830761194229126,64,1920,0.12195809930562973,0.0595393180847168,0.42192989587783813,64,1920,0.12923792004585266,0.09295548498630524,0.481659859418869,64,1920,0.12165716290473938,0.07678598910570145,0.44907888770103455,64,1920,0.12830722332000732,0.08658812195062637,0.480038046836853,64,1920,0.1234663799405098,0.07260438054800034,0.4857254922389984,64,1920,0.12584379315376282,0.07584290951490402,0.44528430700302124
40,riemannian,8,4,0.8146395683288574,0.8375260829925537,0.125,2.0729174613952637,2.0729174613952637,64,2560,0.12291652709245682,0.04632354900240898,0.28205493092536926,64,2560,0.12488295137882233,0.057950202375650406,0.30115172266960144,64,2560,0.12137654423713684,0.04666610062122345,0.2660018801689148,64,2560,0.13163478672504425,0.04783900827169418,0.32765939831733704,64,2560,0.11886456608772278,0.05199003219604492,0.26190319657325745,64,2560,0.1283729374408722,0.0599653497338295,0.3166322708129883,64,2560,0.12659133970737457,0.04740919917821884,0.2924019396305084,64,2560,0.12536035478115082,0.04907664656639099,0.3148971498012543
50,riemannian,8,4,0.8853765726089478,0.8149451017379761,0.125,2.074083089828491,2.074082851409912,64,3200,0.12731200456619263,0.04987403377890587,0.31585606932640076,64,3200,0.12165530025959015,0.053143683820962906,0.28195154666900635,64,3200,0.12253932654857635,0.03972114995121956,0.255045086145401,64,3200,0.1305047869682312,0.04818008840084076,0.29096317291259766,64,3200,0.12254531681537628,0.037678517401218414,0.22024427354335785,64,3200,0.12298908829689026,0.05334552377462387,0.2846987247467041,64,3200,0.1252332478761673,0.05376540496945381,0.2773939371109009,64,3200,0.12722091376781464,0.05634386092424393,0.34257200360298157
60,riemannian,8,4,0.6469526886940002,0.793824315071106,0.125,2.0732545852661133,2.0732545852661133,64,3840,0.12396647781133652,0.06260241568088531,0.2964058220386505,64,3840,0.12351734936237335,0.04982766509056091,0.2693801820278168,64,3840,0.11932489275932312,0.0522364117205143,0.2446117252111435,64,3840,0.13219872117042542,0.05851437523961067,0.3060341477394104,64,3840,0.12133435159921646,0.056553758680820465,0.22047919034957886,64,3840,0.12702050805091858,0.05005435273051262,0.2769956588745117,64,3840,0.125508651137352,0.056974101811647415,0.2758345901966095,64,3840,0.12712904810905457,0.0624455101788044,0.3153829574584961
70,riemannian,8,4,0.782325267791748,0.7742066979408264,0.125,2.073251247406006,2.073251247406006,64,4480,0.12855225801467896,0.09827131032943726,0.4280654489994049,64,4480,0.12341167777776718,0.08753757923841476,0.3994746506214142,64,4480,0.12244569510221481,0.08243191242218018,0.33438360691070557,64,4480,0.12933163344860077,0.09616465121507645,0.35138553380966187,64,4480,0.11871068179607391,0.0759575217962265,0.3034124970436096,64,4480,0.12896332144737244,0.10170801728963852,0.45258739590644836,64,4480,0.12447141110897064,0.10880038887262344,0.39135414361953735,64,4480,0.12411332130432129,0.0871417298913002,0.36743006110191345
80,riemannian,8,4,0.7250874042510986,0.7575528621673584,0.125,2.072732448577881,2.072732448577881,64,5120,0.12412256002426147,0.06697205454111099,0.2619527578353882,64,5120,0.12175941467285156,0.06372766941785812,0.275363951921463,64,5120,0.11952180415391922,0.05024245008826256,0.24924296140670776,64,5120,0.13085918128490448,0.07100564986467361,0.35874852538108826,64,5120,0.12357494980096817,0.053598999977111816,0.21608857810497284,64,5120,0.12673187255859375,0.05136178806424141,0.305414617061615,64,5120,0.12459858506917953,0.06299435347318649,0.312534898519516,64,5120,0.1288316398859024,0.06343421339988708,0.2929142713546753
90,riemannian,8,4,0.6945235729217529,0.7440050840377808,0.125,2.07254695892334,2.07254695892334,64,5760,0.12856313586235046,0.049432747066020966,0.2931364178657532,64,5760,0.11805657297372818,0.0410725362598896,0.23529687523841858,64,5760,0.11781038343906403,0.05137386918067932,0.2359279990196228,64,5760,0.1299448013305664,0.049462299793958664,0.3089132606983185,64,5760,0.12420689314603806,0.05848411098122597,0.2776120603084564,64,5760,0.1281428337097168,0.04646138474345207,0.27761757373809814,64,5760,0.12468788027763367,0.047848522663116455,0.28041112422943115,64,5760,0.1285875141620636,0.05925889313220978,0.27736935019493103
