step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,moe-riemannian,1,1,0.9341078996658325,0.8947677612304688,1.0,0.0,2.0734777450561523,12,12,1.0,0.10312265157699585,0.08316193521022797,4,4,1.0,0.030751055106520653,0.0270027257502079,8,8,1.0,0.06979570537805557,0.06235401704907417,8,8,1.0,0.1050112247467041,0.08832554519176483,13,13,1.0,0.11510376632213593,0.11713811010122299,3,3,1.0,0.046162884682416916,0.04367557168006897,6,6,1.0,0.05540461838245392,0.045899584889411926,10,10,1.0,0.06696194410324097,0.07929320633411407
10,moe-riemannian,1,1,0.9358426332473755,0.8753020763397217,1.0,0.0,2.073056697845459,6,65,1.0,0.07200303673744202,0.21766901016235352,3,42,1.0,0.07791309803724289,0.11741440743207932,17,107,1.0,0.15642371773719788,0.652447521686554,7,116,1.0,0.0706678107380867,0.3829216957092285,12,113,1.0,0.12996602058410645,0.9420125484466553,3,27,1.0,0.045983925461769104,0.14978498220443726,10,86,1.0,0.09763302654027939,0.5603010654449463,6,84,1.0,0.10758066922426224,0.49245601892471313
20,moe-riemannian,1,1,0.775681734085083,0.8375228643417358,1.0,0.0,2.0736474990844727,4,124,1.0,0.08008439093828201,0.1847989410161972,4,88,1.0,0.06764747947454453,0.26323601603507996,9,214,1.0,0.10697264224290848,0.34900644421577454,8,217,1.0,0.2100798636674881,0.8511268496513367,11,239,1.0,0.18210344016551971,1.1037334203720093,3,50,1.0,0.042241256684064865,0.18486392498016357,14,172,1.0,0.13679863512516022,0.8356401324272156,11,176,1.0,0.1129324734210968,0.6280162334442139
30,moe-riemannian,1,1,0.793694257736206,0.7983020544052124,1.0,0.0,2.0735979080200195,7,182,1.0,0.18433736264705658,0.9408193230628967,4,127,1.0,0.040969155728816986,0.15649853646755219,9,344,1.0,0.194392129778862,0.9411716461181641,12,320,1.0,0.2031456083059311,0.9275746941566467,12,347,1.0,0.22088249027729034,0.9491525888442993,1,75,1.0,0.028129488229751587,0.10350891947746277,8,253,1.0,0.10121382772922516,0.5518867373466492,11,272,1.0,0.1663043051958084,0.7304556369781494
40,moe-riemannian,1,1,0.8442187309265137,0.7672338485717773,1.0,0.0,2.0733790397644043,3,261,1.0,0.043977562338113785,0.20746038854122162,3,171,1.0,0.07079509645700455,0.4688107669353485,11,446,1.0,0.15181538462638855,0.5550694465637207,12,425,1.0,0.12653063237667084,0.626519501209259,14,454,1.0,0.1889079362154007,0.7628094553947449,4,110,1.0,0.10512357205152512,0.62548828125,5,323,1.0,0.07021322846412659,0.6049103140830994,12,370,1.0,0.3139420747756958,1.1631072759628296
50,moe-riemannian,1,1,0.9238999485969543,0.7411085963249207,1.0,0.0,2.073653221130371,8,335,1.0,0.12117744982242584,0.8273555636405945,2,217,1.0,0.09525734186172485,0.5740247368812561,11,565,1.0,0.13069577515125275,0.5317662954330444,12,527,1.0,0.13232390582561493,0.4809330403804779,9,561,1.0,0.2211427241563797,0.7844677567481995,5,141,1.0,0.1605178713798523,1.4604257345199585,6,398,1.0,0.10034386068582535,0.6488443613052368,11,456,1.0,0.3454875648021698,1.3234388828277588
60,moe-riemannian,1,1,0.6627382636070251,0.721205472946167,1.0,0.0,2.073591470718384,6,392,1.0,0.0754648968577385,0.34140074253082275,4,263,1.0,0.08736810833215714,0.6328084468841553,15,672,1.0,0.20162758231163025,0.49869850277900696,12,637,1.0,0.1466771811246872,0.650373101234436,10,673,1.0,0.1245233565568924,0.5558245182037354,1,168,1.0,0.07924534380435944,0.45745420455932617,9,493,1.0,0.13512904942035675,0.7383103370666504,7,542,1.0,0.11994875967502594,0.4621826112270355
70,moe-riemannian,1,1,0.7505182027816772,0.707283616065979,1.0,0.0,2.0736806392669678,9,450,1.0,0.12850706279277802,0.4716576039791107,6,313,1.0,0.07529917359352112,0.36486178636550903,10,789,1.0,0.18029026687145233,0.5794875025749207,9,747,1.0,0.22651632130146027,0.6698908805847168,11,783,1.0,0.24084441363811493,0.7990052700042725,3,194,1.0,0.2440018504858017,1.2766989469528198,7,565,1.0,0.16711017489433289,0.6074722409248352,9,639,1.0,0.1577373892068863,0.6213213205337524
80,moe-riemannian,1,1,0.6582292318344116,0.6963114738464355,1.0,0.0,2.0733704566955566,3,511,1.0,0.08482751250267029,0.4160953462123871,3,355,1.0,0.13378490507602692,0.7287341952323914,6,901,1.0,0.16963370144367218,0.4686683714389801,9,862,1.0,0.11682478338479996,0.3881824016571045,15,909,1.0,0.40624845027923584,0.9372457265853882,3,226,1.0,0.12707524001598358,0.488953173160553,11,643,1.0,0.1331871598958969,0.6186314821243286,14,713,1.0,0.21494019031524658,0.6901999115943909
90,moe-riemannian,1,1,0.6259133815765381,0.6828709244728088,1.0,0.0,2.0739333629608154,4,577,1.0,0.06713634729385376,0.3350422978401184,7,400,1.0,0.12961991131305695,0.4786950647830963,10,1021,1.0,0.2839892506599426,0.5036214590072632,13,980,1.0,0.2547775208950043,0.566727340221405,13,1001,1.0,0.14603933691978455,0.5040438771247864,5,254,1.0,0.1326727271080017,0.6485828757286072,8,731,1.0,0.15673916041851044,0.7112130522727966,4,796,1.0,0.14318005740642548,0.45936086773872375
100,moe-riemannian,1,1,0.5674077272415161,0.6706730127334595,1.0,0.0,2.073737621307373,6,636,1.0,0.1108681708574295,0.41505008935928345,3,446,1.0,0.1191607117652893,0.4551394581794739,11,1132,1.0,0.20167122781276703,0.5729024410247803,10,1087,1.0,0.18321920931339264,0.5230395197868347,7,1108,1.0,0.12204768508672714,0.36536914110183716,2,282,1.0,0.21739812195301056,0.5985330939292908,10,822,1.0,0.14561380445957184,0.6396754384040833,15,887,1.0,0.17275911569595337,0.7111343145370483
110,moe-riemannian,1,1,0.6103159189224243,0.6606260538101196,1.0,0.0,2.0726304054260254,7,709,1.0,0.10622283816337585,0.6982811689376831,3,485,1.0,0.19104419648647308,0.6675690412521362,12,1245,1.0,0.20761644840240479,0.7647717595100403,11,1187,1.0,0.2397332340478897,0.563205361366272,11,1229,1.0,0.1206338182091713,0.4354528784751892,2,311,1.0,0.062296245247125626,0.24981249868869781,8,911,1.0,0.1206137165427208,0.4700297713279724,10,963,1.0,0.17744170129299164,0.5064294338226318
120,moe-riemannian,1,1,0.4335218369960785,0.6542075276374817,1.0,0.0,2.0735645294189453,7,773,1.0,0.09563284367322922,0.35396575927734375,4,523,1.0,0.03979749605059624,0.1995069533586502,11,1355,1.0,0.14022177457809448,0.5031000971794128,8,1289,1.0,0.08952262997627258,0.3963773846626282,11,1343,1.0,0.17930984497070312,0.5546957850456238,1,338,1.0,0.07098636776208878,0.5157092213630676,10,996,1.0,0.21175210177898407,0.6859220862388611,12,1063,1.0,0.1339840143918991,0.461696058511734
130,moe-riemannian,1,1,0.5888961553573608,0.6477542519569397,1.0,0.0,2.073275089263916,5,846,1.0,0.06649389117956161,0.449358195066452,6,561,1.0,0.09019000083208084,0.3271762430667877,10,1483,1.0,0.2297702580690384,0.6722657680511475,6,1397,1.0,0.3343445658683777,0.6402133107185364,14,1440,1.0,0.40190860629081726,1.2522286176681519,4,372,1.0,0.14509038627147675,0.3507440984249115,11,1069,1.0,0.19481636583805084,0.6728066802024841,8,1152,1.0,0.34859398007392883,1.0987000465393066
140,moe-riemannian,1,1,0.585730791091919,0.6432151794433594,1.0,0.0,2.073296308517456,5,908,1.0,0.0975814163684845,0.3451157808303833,4,603,1.0,0.05679669976234436,0.3135400116443634,16,1610,1.0,0.3774663805961609,1.1366817951202393,7,1509,1.0,0.07080560177564621,0.33276161551475525,16,1543,1.0,0.26134368777275085,0.7480442523956299,3,408,1.0,0.27123671770095825,0.5517627000808716,5,1146,1.0,0.12138566374778748,0.3835698664188385,8,1233,1.0,0.21816504001617432,0.5586203336715698
150,moe-riemannian,1,1,0.5651752352714539,0.6391522884368896,1.0,0.0,2.073026418685913,9,979,1.0,0.15012167394161224,0.5420283675193787,7,653,1.0,0.1438107192516327,0.4400497376918793,4,1711,1.0,0.20711275935173035,0.6124890446662903,13,1624,1.0,0.3231506943702698,0.7655477523803711,11,1659,1.0,0.1586800515651703,0.49414366483688354,4,435,1.0,0.0777192935347557,0.42344823479652405,8,1219,1.0,0.15753526985645294,0.5010784268379211,8,1320,1.0,0.1581876277923584,0.5314860939979553
160,moe-riemannian,1,1,0.6095616817474365,0.6358861327171326,1.0,0.0,2.0738348960876465,5,1046,1.0,0.14236195385456085,0.45884063839912415,3,705,1.0,0.18066778779029846,0.5536609292030334,12,1832,1.0,0.180538147687912,0.7024969458580017,12,1731,1.0,0.21937239170074463,0.8533601760864258,10,1765,1.0,0.2366575449705124,0.48982205986976624,4,464,1.0,0.3160233795642853,0.5879887342453003,8,1289,1.0,0.11985602229833603,0.4732312560081482,10,1408,1.0,0.383045494556427,0.7934463024139404
170,moe-riemannian,1,1,0.6030312776565552,0.636008620262146,1.0,0.0,2.0740389823913574,5,1119,1.0,0.1482858955860138,0.3945889472961426,3,751,1.0,0.09273115545511246,0.38406267762184143,13,1947,1.0,0.2913239002227783,0.7455952167510986,15,1852,1.0,0.22449570894241333,0.654684841632843,10,1869,1.0,0.15372203290462494,0.5658857822418213,3,492,1.0,0.09651081264019012,0.498482882976532,6,1352,1.0,0.10500601679086685,0.43507951498031616,9,1498,1.0,0.17318499088287354,0.5076990723609924
180,moe-riemannian,1,1,0.628204345703125,0.6313700675964355,1.0,0.0,2.074355363845825,4,1186,1.0,0.13735902309417725,0.39040663838386536,4,794,1.0,0.12667709589004517,0.3680446743965149,10,2068,1.0,0.1771099716424942,0.6305330395698547,8,1957,1.0,0.1495048552751541,0.546453058719635,16,1980,1.0,0.3027626872062683,0.7500136494636536,5,523,1.0,0.33889147639274597,0.6815442442893982,10,1424,1.0,0.20637257397174835,0.6447511911392212,7,1588,1.0,0.21170742809772491,0.4685870409011841
190,moe-riemannian,1,1,0.5494421720504761,0.6252396702766418,1.0,0.0,2.073760986328125,6,1255,1.0,0.120079405605793,0.5038139224052429,3,838,1.0,0.20449203252792358,0.6393696665763855,16,2192,1.0,0.17842699587345123,0.5198633670806885,13,2067,1.0,0.19816811382770538,0.5969597697257996,8,2097,1.0,0.31500083208084106,0.799673855304718,0,549,0.0,0.0,0.0,5,1504,1.0,0.10122331976890564,0.40496447682380676,13,1658,1.0,0.16966328024864197,0.43139782547950745
200,moe-riemannian,1,1,0.4888666272163391,0.622270941734314,1.0,0.0,2.0737342834472656,7,1323,1.0,0.2174995243549347,0.5777435302734375,6,887,1.0,0.10726401209831238,0.6243337392807007,14,2303,1.0,0.16458413004875183,0.660439133644104,8,2176,1.0,0.13311640918254852,0.39274102449417114,10,2201,1.0,0.25736603140830994,0.5784764885902405,3,575,1.0,0.1006443202495575,0.25921720266342163,9,1602,1.0,0.12894216179847717,0.4658355414867401,7,1733,1.0,0.17928163707256317,0.4978891909122467
210,moe-riemannian,1,1,0.5553749799728394,0.6189167499542236,1.0,0.0,2.073192596435547,4,1385,1.0,0.10332382470369339,0.27326786518096924,3,926,1.0,0.09698588401079178,0.3054153323173523,12,2410,1.0,0.1569383293390274,0.4573215842247009,11,2282,1.0,0.24195417761802673,0.49615219235420227,16,2311,1.0,0.49550187587738037,1.0217269659042358,4,610,1.0,0.21314868330955505,0.4787481129169464,5,1686,1.0,0.12395840138196945,0.35773882269859314,9,1830,1.0,0.1730787605047226,0.42979568243026733
