step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,4,1,0.9297115802764893,nan,nan,-0.027874555438756943,0,0,28
20,moe-riemannian,4,1,0.8688984513282776,0.275388240814209,0.22154219448566437,-0.022608179599046707,7168,28,28
40,moe-riemannian,4,1,0.7662184834480286,0.3781123757362366,0.3373546302318573,-0.007521946914494038,7168,28,28
60,moe-riemannian,4,1,0.6972500681877136,0.39726394414901733,0.3683525621891022,-0.021301474422216415,7168,28,28
80,moe-riemannian,4,1,0.6557524800300598,0.37363186478614807,0.3592455983161926,-0.03680836781859398,7168,28,28
100,moe-riemannian,4,1,0.6239229440689087,0.36359626054763794,0.35504308342933655,-0.03971470519900322,7168,28,28
120,moe-riemannian,4,1,0.6035411357879639,0.34351739287376404,0.33845674991607666,-0.03200365975499153,7168,28,28
140,moe-riemannian,4,1,0.590144157409668,0.3199579417705536,0.32119980454444885,-0.029102478176355362,7168,28,28
160,moe-riemannian,4,1,0.5839707255363464,0.30022192001342773,0.30799227952957153,-0.017926644533872604,7168,28,28
180,moe-riemannian,4,1,0.5737549066543579,0.2791874408721924,0.2926533818244934,-0.017378054559230804,7168,28,28
200,moe-riemannian,4,1,0.5610795021057129,0.26425617933273315,0.2793065309524536,-0.026472559198737144,7168,28,28
220,moe-riemannian,4,1,0.5513879060745239,0.2493021935224533,0.2668331563472748,-0.039388369768857956,7168,28,28
240,moe-riemannian,4,1,0.542314887046814,0.2315753996372223,0.25431257486343384,-0.039986755698919296,7168,28,28
260,moe-riemannian,4,1,0.5372707843780518,0.2210995852947235,0.24552062153816223,-0.0275250431150198,7168,28,28
280,moe-riemannian,4,1,0.5272209644317627,0.20876799523830414,0.23509760200977325,-0.020658768713474274,7168,28,28
300,moe-riemannian,4,1,0.5203136801719666,0.19624163210391998,0.22405149042606354,-0.005667875055223703,7168,28,28
