step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,moe-riemannian,8,1,0.9341078996658325,0.8944982290267944,0.125,2.0734777450561523,2.0734777450561523,64,64,0.12635241448879242,0.10332518070936203,0.11691692471504211,64,64,0.12535876035690308,0.12721309065818787,0.09619350731372833,64,64,0.12427068501710892,0.10207398980855942,0.1265457570552826,64,64,0.12372679263353348,0.09381068497896194,0.10439494997262955,64,64,0.1264173686504364,0.08779234439134598,0.0881478488445282,64,64,0.12383996695280075,0.08904729038476944,0.09529778361320496,64,64,0.12488260120153427,0.12517714500427246,0.0955212190747261,64,64,0.12515141069889069,0.10964454710483551,0.1229577288031578
20,moe-riemannian,8,1,0.7727674245834351,0.8253084421157837,0.125,2.07363224029541,2.07363224029541,64,1280,0.12340130656957626,0.20258843898773193,0.9235221147537231,64,1280,0.125472754240036,0.18775515258312225,0.8764742612838745,64,1280,0.12332357466220856,0.16912661492824554,0.8832155466079712,64,1280,0.126581609249115,0.1680520474910736,0.8949740529060364,64,1280,0.12856461107730865,0.15292350947856903,0.8895612955093384,64,1280,0.12294717133045197,0.1412157267332077,0.8423857688903809,64,1280,0.1253950595855713,0.17011795938014984,0.9286404848098755,64,1280,0.12431390583515167,0.1682746410369873,0.8034553527832031
40,moe-riemannian,8,1,0.7983621954917908,0.7328500747680664,0.125,2.073293685913086,2.073293685913086,64,2560,0.1259194016456604,0.26665785908699036,0.8384787440299988,64,2560,0.12607312202453613,0.21705050766468048,0.7561066746711731,64,2560,0.12519434094429016,0.19811736047267914,0.8482286334037781,64,2560,0.12511423230171204,0.17006662487983704,0.7737147212028503,64,2560,0.1296570599079132,0.20133748650550842,0.8832712173461914,64,2560,0.12077704071998596,0.1966124027967453,0.7975340485572815,64,2560,0.12283342331647873,0.19266703724861145,0.897587239742279,64,2560,0.12443134188652039,0.1920146346092224,0.6616336703300476
60,moe-riemannian,8,1,0.6649220585823059,0.6876472234725952,0.125,2.07338285446167,2.07338285446167,64,3840,0.1252593696117401,0.15011753141880035,0.5562509894371033,64,3840,0.1247134879231453,0.10825581848621368,0.548801600933075,64,3840,0.12482799589633942,0.1381068229675293,0.5121868252754211,64,3840,0.12471957504749298,0.14447225630283356,0.5527762770652771,64,3840,0.12872539460659027,0.13581424951553345,0.5846518874168396,64,3840,0.1219334602355957,0.1539756804704666,0.5538479089736938,64,3840,0.12699809670448303,0.1853312849998474,0.5683512687683105,64,3840,0.12282263487577438,0.12958577275276184,0.5173771381378174
80,moe-riemannian,8,1,0.6953020095825195,0.6672976613044739,0.125,2.0730443000793457,2.0730443000793457,64,5120,0.12497898936271667,0.23146949708461761,0.5316030979156494,64,5120,0.12518009543418884,0.2037034034729004,0.5826607346534729,64,5120,0.1207362562417984,0.2483634054660797,0.5828374028205872,64,5120,0.1260657012462616,0.22659309208393097,0.6629052758216858,64,5120,0.1285226047039032,0.22723257541656494,0.626670241355896,64,5120,0.12139376997947693,0.1995541751384735,0.64272141456604,64,5120,0.1268080770969391,0.2341819852590561,0.6241610050201416,64,5120,0.12631452083587646,0.20463493466377258,0.6222096085548401
100,moe-riemannian,8,1,0.6124021410942078,0.6509034633636475,0.125,2.073190212249756,2.073190212249756,64,6400,0.12608689069747925,0.1440262645483017,0.5080130100250244,64,6400,0.12276233732700348,0.1262144297361374,0.4438784122467041,64,6400,0.1270698606967926,0.10159183293581009,0.4670464098453522,64,6400,0.12462695688009262,0.12536023557186127,0.45837029814720154,64,6400,0.12337028980255127,0.10498256981372833,0.46366292238235474,64,6400,0.12344856560230255,0.11792691051959991,0.44027572870254517,64,6400,0.12540006637573242,0.1436488926410675,0.4885922074317932,64,6400,0.1272350549697876,0.13441036641597748,0.48684224486351013
120,moe-riemannian,8,1,0.5186054706573486,0.6416082978248596,0.125,2.0728487968444824,2.0728487968444824,64,7680,0.12741893529891968,0.16689950227737427,0.38059481978416443,64,7680,0.12705989181995392,0.13074001669883728,0.461222380399704,64,7680,0.12369967997074127,0.19602105021476746,0.46268194913864136,64,7680,0.12115509808063507,0.1481635570526123,0.38803112506866455,64,7680,0.12883111834526062,0.15107740461826324,0.43115338683128357,64,7680,0.12161491811275482,0.16665641963481903,0.4574527442455292,64,7680,0.12758338451385498,0.14926940202713013,0.45403793454170227,64,7680,0.12263699620962143,0.14052559435367584,0.43758344650268555
140,moe-riemannian,8,1,0.6414531469345093,0.6367483139038086,0.125,2.072277069091797,2.072277069091797,64,8960,0.12316468358039856,0.2690480649471283,0.5563146471977234,64,8960,0.12568911910057068,0.264773964881897,0.6172194480895996,64,8960,0.12724193930625916,0.2669660747051239,0.5610902905464172,64,8960,0.12378452718257904,0.25717708468437195,0.5650049448013306,64,8960,0.13305450975894928,0.25126296281814575,0.6180697679519653,64,8960,0.12045390158891678,0.2082718312740326,0.5887742042541504,64,8960,0.12484894692897797,0.25954684615135193,0.6072611212730408,64,8960,0.12176237255334854,0.19829484820365906,0.5192010998725891
160,moe-riemannian,8,1,0.6535212993621826,0.6341540813446045,0.125,2.0720267295837402,2.0720267295837402,64,10240,0.12618866562843323,0.32870736718177795,0.5883445143699646,64,10240,0.12553662061691284,0.28953689336776733,0.6684199571609497,64,10240,0.12456128746271133,0.29140976071357727,0.5992222428321838,64,10240,0.12744158506393433,0.22346223890781403,0.595187783241272,64,10240,0.1288512647151947,0.27989330887794495,0.6062525510787964,64,10240,0.1201706975698471,0.2756662666797638,0.575965404510498,64,10240,0.12361317873001099,0.2733546495437622,0.620030403137207,64,10240,0.12363670766353607,0.3328678607940674,0.6583871841430664
180,moe-riemannian,8,1,0.6923426389694214,0.6307331323623657,0.125,2.0728228092193604,2.0728228092193604,64,11520,0.125956192612648,0.338644415140152,0.5411512851715088,64,11520,0.12479962408542633,0.2774372100830078,0.52701735496521,64,11520,0.1232122927904129,0.2596046030521393,0.5333660840988159,64,11520,0.12527796626091003,0.3104170262813568,0.5243873000144958,64,11520,0.13008520007133484,0.30069512128829956,0.6537092328071594,64,11520,0.12157707661390305,0.26195213198661804,0.5235682725906372,64,11520,0.12578058242797852,0.29582440853118896,0.621475338935852,64,11520,0.12331108003854752,0.31133055686950684,0.5921627283096313
