step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,riemannian,4,2,1.1665791273117065,1.202927589416504,0.25,1.382936716079712,2.0731139183044434,39,39,0.25830331444740295,0.06935404986143112,0.07604195922613144,33,33,0.2463146299123764,0.06586392223834991,0.07772063463926315,29,29,0.2517518699169159,0.06292031705379486,0.0702734962105751,29,29,0.2567053735256195,0.06369150429964066,0.07339426130056381,24,24,0.24136881530284882,0.03814079985022545,0.04207129031419754,42,42,0.2576141953468323,0.10145202279090881,0.09272255003452301,26,26,0.2444857507944107,0.043302983045578,0.03912951797246933,34,34,0.23774267733097076,0.04679306969046593,0.05479283630847931
20,riemannian,4,2,1.0061417818069458,1.140516757965088,0.25,1.3838605880737305,2.0730137825012207,40,744,0.25747865438461304,0.0644131600856781,0.33724334836006165,29,591,0.2501671612262726,0.04370826482772827,0.2619456350803375,32,615,0.25466954708099365,0.13258829712867737,0.6812983155250549,41,740,0.24763935804367065,0.08906569331884384,0.5913362503051758,24,451,0.24739861488342285,0.030321607366204262,0.1356482058763504,26,627,0.25486403703689575,0.06366465985774994,0.26896488666534424,24,595,0.24898751080036163,0.047670722007751465,0.21230700612068176,40,757,0.24009084701538086,0.07899557054042816,0.4685119092464447
40,riemannian,4,2,0.8319739699363708,1.0312453508377075,0.25,1.38356351852417,2.0735342502593994,41,1498,0.25689294934272766,0.0572519488632679,0.37474343180656433,36,1181,0.2514854669570923,0.051071494817733765,0.29043757915496826,28,1265,0.2510734498500824,0.06960737705230713,0.3082999885082245,29,1466,0.2458251416683197,0.07381825894117355,0.34544795751571655,28,905,0.2408844530582428,0.04511405527591705,0.17004641890525818,34,1224,0.25620487332344055,0.09057996422052383,0.27832216024398804,28,1219,0.2524583041667938,0.06007976457476616,0.4078117907047272,32,1482,0.24157388508319855,0.06778120994567871,0.3436408042907715
60,riemannian,4,2,1.1345889568328857,0.9244919419288635,0.25,1.3812999725341797,2.071104049682617,36,2254,0.2491244673728943,0.12168988585472107,0.513929009437561,31,1768,0.24332383275032043,0.1190132275223732,0.4984762966632843,33,1871,0.25854864716529846,0.25204306840896606,0.7020074725151062,41,2223,0.2451680302619934,0.23061233758926392,0.7460103631019592,22,1339,0.24169324338436127,0.050474680960178375,0.3303617238998413,30,1866,0.2784444987773895,0.33603790402412415,0.4993097484111786,21,1817,0.24201692640781403,0.05344701558351517,0.2814037501811981,42,2222,0.24170342087745667,0.18817724287509918,0.822048544883728
80,riemannian,4,2,0.8766225576400757,0.8530682325363159,0.25,1.3817129135131836,2.0703184604644775,36,2987,0.2584243714809418,0.11179380863904953,0.4591945707798004,30,2329,0.24190615117549896,0.09618204087018967,0.4929414689540863,39,2513,0.2533167898654938,0.14340710639953613,0.49005258083343506,43,2971,0.24804797768592834,0.13494163751602173,0.468711793422699,19,1796,0.23911303281784058,0.030649933964014053,0.2359960824251175,18,2451,0.27021223306655884,0.09630707651376724,0.290071040391922,32,2424,0.24467730522155762,0.08689846843481064,0.3668789863586426,39,3009,0.2476276457309723,0.08020326495170593,0.3284878432750702
100,riemannian,4,2,0.6896295547485352,0.8082680106163025,0.25,1.3781012296676636,2.066432237625122,42,3774,0.24793507158756256,0.12481432408094406,0.4167110323905945,29,2879,0.24029004573822021,0.08798722922801971,0.2973763048648834,30,3158,0.27078545093536377,0.1277330219745636,0.36634376645088196,35,3737,0.2401898205280304,0.157182514667511,0.37803876399993896,28,2255,0.23833179473876953,0.045324165374040604,0.2764921188354492,29,2998,0.28140461444854736,0.14576299488544464,0.36743244528770447,26,3011,0.24597078561782837,0.08734959363937378,0.2902645766735077,37,3788,0.23942820727825165,0.1557479053735733,0.37187719345092773
120,riemannian,4,2,0.880487859249115,0.7749925255775452,0.25,1.373673439025879,2.0620388984680176,40,4536,0.2535690665245056,0.09641489386558533,0.3592158854007721,28,3471,0.23360861837863922,0.06435898691415787,0.2906560003757477,31,3768,0.25381800532341003,0.09504685550928116,0.3500176668167114,37,4470,0.23983877897262573,0.14846622943878174,0.36850589513778687,19,2695,0.23351320624351501,0.04074129834771156,0.25526371598243713,33,3595,0.2940470278263092,0.36698752641677856,0.5162075161933899,29,3595,0.23961524665355682,0.11789514124393463,0.3150906562805176,39,4590,0.24319633841514587,0.13211558759212494,0.3356128931045532
140,riemannian,4,2,0.7746599912643433,0.7504176497459412,0.25,1.37556791305542,2.064448356628418,41,5293,0.24949952960014343,0.12076526135206223,0.39387497305870056,32,4057,0.2415916919708252,0.08535259962081909,0.3481294512748718,29,4361,0.25884193181991577,0.0817827582359314,0.24247504770755768,35,5213,0.23723912239074707,0.07363362610340118,0.23020246624946594,16,3114,0.23467698693275452,0.056754108518362045,0.3696487843990326,36,4171,0.2868729829788208,0.10605806857347488,0.46966761350631714,28,4228,0.25045058131217957,0.06514114886522293,0.26925116777420044,39,5403,0.23422877490520477,0.13664735853672028,0.4190518260002136
160,riemannian,4,2,0.838149905204773,0.7306786775588989,0.25,1.37370765209198,2.0612845420837402,38,6068,0.24708348512649536,0.1248515397310257,0.4164620339870453,29,4654,0.23348653316497803,0.12287729233503342,0.35627231001853943,28,4929,0.25428980588912964,0.10261591523885727,0.2916037142276764,37,5923,0.2361234724521637,0.10149504244327545,0.3234628438949585,31,3587,0.23247115314006805,0.0547415167093277,0.3293153643608093,28,4756,0.3098503649234772,0.23526112735271454,0.42884358763694763,31,4827,0.25330474972724915,0.08329097926616669,0.2977139353752136,34,6216,0.24259331822395325,0.13950194418430328,0.3207356929779053
180,riemannian,4,2,0.6466863751411438,0.7136932611465454,0.25,1.3666201829910278,2.0546059608459473,36,6864,0.24468885362148285,0.13041812181472778,0.3255080580711365,28,5213,0.22500741481781006,0.0783885270357132,0.2424827367067337,24,5517,0.2540064752101898,0.1548040211200714,0.3192099928855896,41,6689,0.23135973513126373,0.17433081567287445,0.29885149002075195,22,4058,0.22376511991024017,0.04223660007119179,0.19957996904850006,38,5341,0.31203389167785645,0.31880301237106323,0.5862545967102051,27,5400,0.2563171684741974,0.1080072745680809,0.3007410764694214,40,6998,0.24021010100841522,0.12288548797369003,0.2806747853755951
