step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,8,0,1.3910822868347168,nan,nan,-0.052812594920396805,0,0,28
20,riemannian,8,0,1.353468418121338,0.4237370789051056,0.26214975118637085,-0.05407869815826416,7168,28,28
40,riemannian,8,0,1.260572910308838,0.6458151936531067,0.5343571901321411,-0.05185098946094513,7168,28,28
60,riemannian,8,0,1.1781991720199585,0.7196118235588074,0.6414307355880737,-0.06148327514529228,7168,28,28
80,riemannian,8,0,1.1223185062408447,0.7482271790504456,0.6825597286224365,-0.07323183864355087,7168,28,28
100,riemannian,8,0,1.0747233629226685,0.7480877637863159,0.687569797039032,-0.08449944853782654,7168,28,28
120,riemannian,8,0,1.0414366722106934,0.7461197376251221,0.6930391192436218,-0.08476842194795609,7168,28,28
140,riemannian,8,0,1.0156646966934204,0.7357456088066101,0.6902998685836792,-0.07875929772853851,7168,28,28
160,riemannian,8,0,0.9956740736961365,0.7210043668746948,0.6810939908027649,-0.07359687238931656,7168,28,28
180,riemannian,8,0,0.9790321588516235,0.7078743577003479,0.6727026104927063,-0.07326705753803253,7168,28,28
200,riemannian,8,0,0.9651753902435303,0.6931954622268677,0.663106381893158,-0.07302023470401764,7168,28,28
220,riemannian,8,0,0.952799379825592,0.6784424185752869,0.6531785130500793,-0.06646453589200974,7168,28,28
240,riemannian,8,0,0.9404994249343872,0.6625688076019287,0.6413736343383789,-0.06318093091249466,7168,28,28
260,riemannian,8,0,0.9299101829528809,0.6483707427978516,0.6305193305015564,-0.056066036224365234,7168,28,28
280,riemannian,8,0,0.9207106828689575,0.6311414241790771,0.6173117160797119,-0.05608630180358887,7168,28,28
300,riemannian,8,0,0.9123799800872803,0.6154299974441528,0.604827344417572,-0.054729148745536804,7168,28,28
