mode,top_k,seed,initial_val_loss,final_val_loss,final_train_loss,tail_train_loss,final_gate_entropy,seconds
riemannian,4,0,1.4340004920959473,0.7459172010421753,0.716734766960144,0.7245068967342376,1.367720127105713,3.3393909000005806
moe-riemannian,4,0,1.4340004920959473,0.6759418249130249,0.6343871355056763,0.6419524884223938,1.3719184398651123,2.585301499999332
riemannian,8,0,1.4340004920959473,0.9219198822975159,0.8995850086212158,0.9028485178947449,2.054816722869873,2.524697500000002
moe-riemannian,8,0,1.4340004920959473,0.876366913318634,0.8483866453170776,0.8515962946414948,2.0515670776367188,2.499846499999876
riemannian,4,1,0.8962480425834656,0.5543054938316345,0.5170740485191345,0.5152623158693314,1.3783724308013916,2.5405368000001545
moe-riemannian,4,1,0.8962480425834656,0.5036652684211731,0.4571846127510071,0.4583322489261627,1.377450704574585,2.547816000000239
riemannian,8,1,0.8962480425834656,0.6429855823516846,0.6183274984359741,0.607908980846405,2.0691680908203125,2.543609400000605
moe-riemannian,8,1,0.8962480425834656,0.6163708567619324,0.5861450433731079,0.575206218957901,2.069291114807129,2.7621119999994335
riemannian,4,2,1.2044841051101685,0.6419121026992798,0.6236444711685181,0.6329352343082428,1.3566746711730957,2.4977453000001333
moe-riemannian,4,2,1.2044841051101685,0.5878274440765381,0.5539976954460144,0.5617987775802612,1.3599976301193237,1.7285185000000638
riemannian,8,2,1.2044841051101685,0.785956621170044,0.7828903198242188,0.7937308526039124,2.0461320877075195,1.9369575000000623
moe-riemannian,8,2,1.2044841051101685,0.752578854560852,0.7438083291053772,0.7493408131599426,2.0519866943359375,2.8960847999996986
riemannian,4,3,1.322913646697998,0.7591044902801514,0.6597741842269897,0.6508336609601975,1.3636430501937866,2.813520200000312
moe-riemannian,4,3,1.322913646697998,0.6798263192176819,0.5785899758338928,0.5727659749984741,1.3642818927764893,2.327078100000108
riemannian,8,3,1.322913646697998,0.903346061706543,0.8114449977874756,0.7927199566364288,2.0620853900909424,2.2474803000004613
moe-riemannian,8,3,1.322913646697998,0.8552507758140564,0.7598044872283936,0.7418640530109406,2.063260316848755,2.2513535999996748
riemannian,4,4,0.8895127773284912,0.5347543358802795,0.4950338900089264,0.5192518121004105,1.3747341632843018,2.117343699999765
moe-riemannian,4,4,0.8895127773284912,0.48495256900787354,0.43643099069595337,0.45866499066352845,1.375084400177002,2.1827384999996866
riemannian,8,4,0.8895127773284912,0.6181243658065796,0.5944206714630127,0.6159770113229751,2.06984281539917,2.2725091000002067
moe-riemannian,8,4,0.8895127773284912,0.5853061676025391,0.5591953992843628,0.5774725705385209,2.068554162979126,2.375113899999633
