step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,riemannian,2,0,1.4790198802947998,1.4323835372924805,0.5,0.6922902464866638,2.072633743286133,11,11,0.49643534421920776,0.08424194157123566,0.11028450727462769,19,19,0.49990564584732056,0.07456427067518234,0.055408261716365814,17,17,0.5008581280708313,0.06738154590129852,0.09769263863563538,15,15,0.5041736364364624,0.07620389014482498,0.06473801285028458,21,21,0.5043643712997437,0.11389484256505966,0.11574673652648926,19,19,0.49864649772644043,0.07192600518465042,0.06444596499204636,16,16,0.4953055679798126,0.059434421360492706,0.06581942737102509,10,10,0.4972986578941345,0.05610264092683792,0.05379880219697952
10,riemannian,2,0,1.4518638849258423,1.405218482017517,0.5,0.6922445297241211,2.072312831878662,13,136,0.5004891753196716,0.07327552884817123,0.37760287523269653,16,176,0.501378059387207,0.15179525315761566,1.1115922927856445,16,174,0.5081071257591248,0.1159415990114212,0.9107035994529724,19,149,0.4987708628177643,0.08522289246320724,0.36593836545944214,13,169,0.4986850917339325,0.06735178083181381,0.4043835997581482,21,167,0.5013673901557922,0.14664030075073242,0.665748655796051,13,152,0.49403226375579834,0.06256776303052902,0.2999364137649536,17,157,0.49595242738723755,0.10112449526786804,0.5431811809539795
20,riemannian,2,0,1.174208641052246,1.3185505867004395,0.5,0.6923918128013611,2.072655200958252,13,252,0.4961037337779999,0.07089908421039581,0.44133231043815613,19,365,0.5126520395278931,0.23337125778198242,0.8936704993247986,13,372,0.4966471791267395,0.0742553174495697,0.6998770236968994,17,282,0.4975923001766205,0.08376596122980118,0.52371746301651,19,335,0.5020937919616699,0.17379416525363922,1.0874438285827637,20,345,0.5084298849105835,0.159618079662323,0.875674843788147,15,323,0.491644024848938,0.0995054841041565,0.4935528039932251,12,286,0.48431161046028137,0.06569602340459824,0.31962740421295166
30,riemannian,2,0,1.441882610321045,1.2206326723098755,0.5,0.691912055015564,2.072890281677246,15,401,0.4923911988735199,0.12109441310167313,0.6697666049003601,17,561,0.5143744945526123,0.2303411215543747,0.9130814075469971,15,568,0.5042484402656555,0.1864723414182663,0.7662190198898315,14,416,0.4989919364452362,0.10880529135465622,0.7062090635299683,18,499,0.5034756064414978,0.263223797082901,1.1794544458389282,20,519,0.5052083730697632,0.16072966158390045,0.9029166102409363,15,478,0.4943794310092926,0.07432723045349121,0.44783321022987366,14,398,0.48126643896102905,0.10529395937919617,0.6286944150924683
40,riemannian,2,0,1.119228720664978,1.1280760765075684,0.5,0.6912962198257446,2.07078218460083,8,500,0.48667439818382263,0.06523486226797104,0.32290270924568176,20,760,0.519451916217804,0.26675647497177124,0.6011562943458557,22,768,0.4999585449695587,0.17714551091194153,0.8658866286277771,17,576,0.5044567584991455,0.15605877339839935,0.7264100909233093,15,680,0.489450067281723,0.12019244581460953,0.552234411239624,18,685,0.507723867893219,0.2097560614347458,0.8461813926696777,15,630,0.49421218037605286,0.08560555428266525,0.47901827096939087,13,521,0.4806731641292572,0.1307346075773239,0.6084482073783875
50,riemannian,2,0,0.9630022048950195,1.0575499534606934,0.5,0.6914849281311035,2.070394992828369,13,618,0.4897410571575165,0.10691464692354202,0.534345269203186,29,989,0.5128103494644165,0.355340838432312,0.628229022026062,20,955,0.4979470372200012,0.2095717489719391,0.7226924300193787,14,732,0.5025092959403992,0.26016828417778015,0.7755934000015259,12,823,0.49510136246681213,0.07101812213659286,0.29900914430618286,11,860,0.5099512338638306,0.08552605658769608,0.3335403501987457,15,785,0.4954504370689392,0.08291355520486832,0.40577343106269836,14,638,0.48466840386390686,0.08637996762990952,0.5648899674415588
60,riemannian,2,0,1.1125761270523071,1.0010204315185547,0.5,0.6913890838623047,2.0716376304626465,11,739,0.48785704374313354,0.11320537328720093,0.476849228143692,24,1227,0.5110780596733093,0.29295602440834045,0.6458130478858948,17,1154,0.5005291104316711,0.09918414801359177,0.3927047550678253,14,867,0.4979829788208008,0.08093665540218353,0.3910385072231293,24,989,0.5012227892875671,0.45641282200813293,1.3589388132095337,16,1042,0.49366211891174316,0.20751629769802094,0.9634369611740112,11,907,0.4940185248851776,0.10266795009374619,0.4048490822315216,11,755,0.5022542476654053,0.09072652459144592,0.4990358054637909
70,riemannian,2,0,0.864888608455658,0.9569028615951538,0.5,0.6902379989624023,2.0710887908935547,12,847,0.4866445064544678,0.0734117180109024,0.342700332403183,23,1461,0.535132884979248,0.26950976252555847,0.6953604817390442,16,1339,0.4833451211452484,0.09488896280527115,0.30751481652259827,14,1028,0.4916831851005554,0.1168379932641983,0.39444491267204285,21,1174,0.4874337613582611,0.21615445613861084,0.9621440768241882,21,1220,0.5119106769561768,0.22856584191322327,0.513634443283081,15,1029,0.48434555530548096,0.09466303139925003,0.37643691897392273,6,862,0.4972844421863556,0.04657683148980141,0.3844578266143799
80,riemannian,2,0,0.8463289737701416,0.9200202226638794,0.5,0.6894209384918213,2.0694174766540527,5,966,0.4751366078853607,0.0643153265118599,0.3248055577278137,24,1721,0.5428099036216736,0.2193950116634369,0.6810274720191956,21,1522,0.5023633241653442,0.15284524857997894,0.45666438341140747,17,1177,0.5062945485115051,0.23529615998268127,0.576581597328186,17,1335,0.4779086410999298,0.13189144432544708,0.5455355644226074,22,1387,0.5041062831878662,0.15087218582630157,0.4305012822151184,11,1175,0.4689667522907257,0.06068071722984314,0.3330625891685486,11,957,0.46062037348747253,0.05282478779554367,0.3928036093711853
90,riemannian,2,0,0.8617419004440308,0.8844885230064392,0.5,0.6890629529953003,2.0695600509643555,11,1085,0.49841877818107605,0.08088550716638565,0.41594284772872925,28,1969,0.5339731574058533,0.4359842836856842,0.8435818552970886,21,1710,0.4870587885379791,0.16420364379882812,0.5276644825935364,18,1329,0.5023689270019531,0.1544569432735443,0.4831647574901581,12,1489,0.49776434898376465,0.35171741247177124,0.7281497120857239,21,1579,0.5023388862609863,0.19952401518821716,0.5416445136070251,11,1308,0.46151188015937805,0.07591534405946732,0.3696189224720001,6,1051,0.44939231872558594,0.07030941545963287,0.31777316331863403
