mode,top_k,seed,initial_val_loss,final_val_loss,final_train_loss,tail_train_loss,final_gate_entropy,seconds
riemannian,1,0,1.4340004920959473,0.8874738216400146,0.8061773777008057,0.8072804164886475,0.0,2.5804887999997845
moe-riemannian,1,0,1.4340004920959473,0.8874738216400146,0.8061773777008057,0.8072804164886475,0.0,2.0074727999999595
riemannian,2,0,1.4340004920959473,0.6676706075668335,0.6295198202133179,0.63955637216568,0.6813747882843018,1.4954281000000265
moe-riemannian,2,0,1.4340004920959473,0.6242517828941345,0.5840702056884766,0.5967113524675369,0.6812229156494141,1.488504599999942
riemannian,4,0,1.4340004920959473,0.7459172010421753,0.716734766960144,0.7245068967342376,1.367720127105713,1.4911812000000282
moe-riemannian,4,0,1.4340004920959473,0.6759418249130249,0.6343871355056763,0.6419524884223938,1.3719184398651123,1.2898099999997612
riemannian,8,0,1.4340004920959473,0.9219198822975159,0.8995850086212158,0.9028485178947449,2.054816722869873,1.2797967999999855
moe-riemannian,8,0,1.4340004920959473,0.876366913318634,0.8483866453170776,0.8515962946414948,2.0515670776367188,1.3045164999998633
riemannian,1,1,0.8962480425834656,0.599800705909729,0.5321825742721558,0.5243506151437759,0.0,1.505332400000043
moe-riemannian,1,1,0.8962480425834656,0.599800705909729,0.5321825742721558,0.5243506151437759,0.0,1.4362533000003168
riemannian,2,1,0.8962480425834656,0.4969058632850647,0.4502490758895874,0.4527208799123764,0.6873484253883362,1.5457590000000891
moe-riemannian,2,1,0.8962480425834656,0.4740430414676666,0.4241737723350525,0.42790442645549776,0.6871960759162903,1.4349075999998604
riemannian,4,1,0.8962480425834656,0.5543054938316345,0.5170740485191345,0.5152623158693314,1.3783724308013916,1.4195181000000048
moe-riemannian,4,1,0.8962480425834656,0.5036652684211731,0.4571846127510071,0.4583322489261627,1.377450704574585,1.4185483999999633
riemannian,8,1,0.8962480425834656,0.6429855823516846,0.6183274984359741,0.607908980846405,2.0691680908203125,1.3759752999999364
moe-riemannian,8,1,0.8962480425834656,0.6163708567619324,0.5861450433731079,0.575206218957901,2.069291114807129,1.4101726999997481
riemannian,1,2,1.2044841051101685,0.7301860451698303,0.6518614292144775,0.6472511613368988,0.0,1.4131231999999727
moe-riemannian,1,2,1.2044841051101685,0.7301860451698303,0.6518614292144775,0.6472511613368988,0.0,1.4265810000001693
riemannian,2,2,1.2044841051101685,0.5650320053100586,0.531509518623352,0.5430296003818512,0.677645742893219,1.3851999999997133
moe-riemannian,2,2,1.2044841051101685,0.5371323227882385,0.49271005392074585,0.5019045543670654,0.6757215261459351,1.4019483999995828
riemannian,4,2,1.2044841051101685,0.6419121026992798,0.6236444711685181,0.6329352343082428,1.3566746711730957,1.3274351000000024
moe-riemannian,4,2,1.2044841051101685,0.5878274440765381,0.5539976954460144,0.5617987775802612,1.3599976301193237,1.3824580000000424
riemannian,8,2,1.2044841051101685,0.785956621170044,0.7828903198242188,0.7937308526039124,2.0461320877075195,1.3011576999997487
moe-riemannian,8,2,1.2044841051101685,0.752578854560852,0.7438083291053772,0.7493408131599426,2.0519866943359375,1.3676517999997486
