step,train_loss,val_loss,method,top_k
20,2.322699522972107,2.3021293115615844,RSGD,4
40,2.140417027473449,1.991894142627716,RSGD,4
60,1.752145379781723,1.5802157425880432,RSGD,4
80,1.5559710741043091,1.2990266090631486,RSGD,4
100,1.2539664506912231,1.0807629522681237,RSGD,4
20,2.2720875561237337,2.0188369488716127,gRSGD,4
40,1.616655069589615,1.3225212889909743,gRSGD,4
60,1.103009571135044,0.9382665106654168,gRSGD,4
80,0.7678247593343258,0.4806688031554222,gRSGD,4
100,0.3675800457596779,0.2666739738546312,gRSGD,4
20,2.323280727863312,2.3221980237960818,RSGD,8
40,2.2853378117084504,2.299101346731186,RSGD,8
60,2.180887573957443,2.1822331607341767,RSGD,8
80,2.285968339443207,1.9605477142333985,RSGD,8
100,1.9615503251552584,1.7244310867786408,RSGD,8
20,2.3098700821399687,2.230480078458786,gRSGD,8
40,1.9540294229984283,1.639625179767609,gRSGD,8
60,1.395528730750084,1.2530670154094696,gRSGD,8
80,1.1776729464530944,0.968281949609518,gRSGD,8
100,0.8488510861992836,0.6779271593689918,gRSGD,8
