step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,8,3,1.2568113803863525,nan,nan,-0.009726593270897865,0,0,28
20,moe-riemannian,8,3,1.0789391994476318,0.6905794739723206,0.61834716796875,-0.07055776566267014,7168,28,28
40,moe-riemannian,8,3,0.9649374485015869,0.7587239742279053,0.7260245084762573,-0.05132972076535225,7168,28,28
60,moe-riemannian,8,3,0.9269694685935974,0.7352502346038818,0.7163840532302856,-0.007572252303361893,7168,28,28
80,moe-riemannian,8,3,0.9115676283836365,0.7130032181739807,0.6909649968147278,-0.007417347282171249,7168,28,28
100,moe-riemannian,8,3,0.8976238965988159,0.6876924633979797,0.666693389415741,-0.0006341647240333259,7168,28,28
120,moe-riemannian,8,3,0.8811103105545044,0.6654209494590759,0.6452409625053406,-0.009017681702971458,7168,28,28
140,moe-riemannian,8,3,0.8698307871818542,0.6476068496704102,0.6248214840888977,-0.002457208000123501,7168,28,28
160,moe-riemannian,8,3,0.8609409928321838,0.6208938360214233,0.5979042053222656,-0.018535364419221878,7168,28,28
180,moe-riemannian,8,3,0.8542072772979736,0.6088942289352417,0.5854715704917908,-0.004347747191786766,7168,28,28
200,moe-riemannian,8,3,0.8482409715652466,0.5891902446746826,0.5680186748504639,-0.005609390325844288,7168,28,28
220,moe-riemannian,8,3,0.8431653380393982,0.5766801238059998,0.553781270980835,-0.0016226896550506353,7168,28,28
240,moe-riemannian,8,3,0.8380315899848938,0.5615087151527405,0.5406659841537476,0.0037078741006553173,7168,28,28
260,moe-riemannian,8,3,0.8346662521362305,0.5491544604301453,0.5299960970878601,0.01695050299167633,7168,28,28
280,moe-riemannian,8,3,0.8342152833938599,0.5404754877090454,0.5180113911628723,0.006981018930673599,7168,28,28
300,moe-riemannian,8,3,0.83244788646698,0.5306171178817749,0.5109416246414185,0.005216686055064201,7168,28,28
