step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,riemannian,8,0,1.4790198802947998,1.4327945709228516,0.125,2.072633743286133,2.072633743286133,64,64,0.12351004779338837,0.05017387866973877,0.04796658828854561,64,64,0.12619109451770782,0.04471670836210251,0.03325215354561806,64,64,0.1219627857208252,0.04374183341860771,0.061272017657756805,64,64,0.1236402615904808,0.051954664289951324,0.04436919093132019,64,64,0.1295228898525238,0.07332853227853775,0.06590503454208374,64,64,0.1253768801689148,0.058027107268571854,0.05123567208647728,64,64,0.12511858344078064,0.04932572692632675,0.05913674086332321,64,64,0.12467744946479797,0.05085400119423866,0.0470060370862484
10,riemannian,8,0,1.4682307243347168,1.420389175415039,0.125,2.072317123413086,2.072317123413086,64,640,0.12152363359928131,0.04790734127163887,0.2107466459274292,64,640,0.12512138485908508,0.050551045686006546,0.24591483175754547,64,640,0.12575086951255798,0.05753164738416672,0.32842934131622314,64,640,0.1258104145526886,0.05202166363596916,0.2756699025630951,64,640,0.12525534629821777,0.06229661405086517,0.26335933804512024,64,640,0.12527328729629517,0.061731502413749695,0.24914893507957458,64,640,0.12509362399578094,0.043244369328022,0.228986918926239,64,640,0.12617146968841553,0.04919775575399399,0.20282895863056183
20,riemannian,8,0,1.2331162691116333,1.392983317375183,0.125,2.0727379322052,2.0727379322052,64,1280,0.12582501769065857,0.06534717231988907,0.37279650568962097,64,1280,0.12461966276168823,0.06912911683320999,0.3903147876262665,64,1280,0.12154988944530487,0.07054740935564041,0.47874534130096436,64,1280,0.12160027027130127,0.05974006652832031,0.3660421073436737,64,1280,0.12832233309745789,0.08197516202926636,0.4557814300060272,64,1280,0.1280001699924469,0.0713951587677002,0.4129924476146698,64,1280,0.12645839154720306,0.05950450897216797,0.3785804510116577,64,1280,0.12362425029277802,0.06972081959247589,0.3560478389263153
30,riemannian,8,0,1.527429461479187,1.3451910018920898,0.125,2.073159694671631,2.073159694671631,64,1920,0.12324029952287674,0.0835946798324585,0.4655691385269165,64,1920,0.12387878447771072,0.0729987621307373,0.523560106754303,64,1920,0.12541890144348145,0.11115395277738571,0.6147851943969727,64,1920,0.12255529314279556,0.09535842388868332,0.48780447244644165,64,1920,0.12751370668411255,0.10953399538993835,0.5835610032081604,64,1920,0.1281474530696869,0.08976392447948456,0.5325711965560913,64,1920,0.12711870670318604,0.10032963752746582,0.5105293989181519,64,1920,0.12212686240673065,0.08461879193782806,0.460496723651886
40,riemannian,8,0,1.2816241979599,1.2937045097351074,0.125,2.0715434551239014,2.0715434551239014,64,2560,0.12090817093849182,0.07414478808641434,0.3929567039012909,64,2560,0.12676945328712463,0.08203257620334625,0.41322675347328186,64,2560,0.12406877428293228,0.08555444329977036,0.39072227478027344,64,2560,0.12575814127922058,0.08469048142433167,0.40462568402290344,64,2560,0.125689297914505,0.08484882861375809,0.41421785950660706,64,2560,0.12716719508171082,0.07434937357902527,0.40974193811416626,64,2560,0.12680171430110931,0.0754704549908638,0.3704093098640442,64,2560,0.12283727526664734,0.08310820162296295,0.3738255798816681
50,riemannian,8,0,1.1212490797042847,1.246296763420105,0.1249999925494194,2.0715973377227783,2.0715973377227783,64,3200,0.12567302584648132,0.10726458579301834,0.50054532289505,64,3200,0.1279222071170807,0.13515453040599823,0.4954952895641327,64,3200,0.1255449801683426,0.13149499893188477,0.503719687461853,64,3200,0.12197333574295044,0.11137224733829498,0.43807777762413025,64,3200,0.12512466311454773,0.11433491855859756,0.49547961354255676,64,3200,0.12250033020973206,0.09579922258853912,0.3774566054344177,64,3200,0.12605811655521393,0.0928734764456749,0.3904961943626404,64,3200,0.12520331144332886,0.123574398458004,0.49653151631355286
60,riemannian,8,0,1.280219316482544,1.2035267353057861,0.125,2.0726733207702637,2.0726733207702637,64,3840,0.12246550619602203,0.0775822103023529,0.4604640007019043,64,3840,0.12623435258865356,0.11823529005050659,0.4872247576713562,64,3840,0.12518122792243958,0.11743807792663574,0.4307447671890259,64,3840,0.12241651117801666,0.10100114345550537,0.453582227230072,64,3840,0.1310199797153473,0.14886952936649323,0.5251146554946899,64,3840,0.1241483986377716,0.1192694753408432,0.47410792112350464,64,3840,0.12173224985599518,0.08494263142347336,0.3656180202960968,64,3840,0.1268017590045929,0.08983974903821945,0.45887434482574463
70,riemannian,8,0,1.047838568687439,1.1707782745361328,0.125,2.0732064247131348,2.0732064247131348,64,4480,0.12519732117652893,0.11171404272317886,0.40641799569129944,64,4480,0.12708637118339539,0.1355968564748764,0.3687640130519867,64,4480,0.12548434734344482,0.11276857554912567,0.32412925362586975,64,4480,0.12232117354869843,0.11007750034332275,0.3329750895500183,64,4480,0.12885057926177979,0.11324602365493774,0.3650440275669098,64,4480,0.1251298040151596,0.10045231133699417,0.40725284814834595,64,4480,0.1248001754283905,0.08762454986572266,0.34699520468711853,64,4480,0.12113027274608612,0.10085108131170273,0.37314993143081665
80,riemannian,8,0,1.0248087644577026,1.1428247690200806,0.125,2.0721611976623535,2.0721611976623535,64,5120,0.11921717971563339,0.09045080840587616,0.3187742233276367,64,5120,0.12796632945537567,0.09309039264917374,0.3128955662250519,64,5120,0.12731212377548218,0.08257215470075607,0.29204338788986206,64,5120,0.12234066426753998,0.09123071283102036,0.29077816009521484,64,5120,0.1271408647298813,0.10033570975065231,0.3271578848361969,64,5120,0.12904641032218933,0.08586486428976059,0.31111979484558105,64,5120,0.12346653640270233,0.07341556251049042,0.29177287220954895,64,5120,0.12350991368293762,0.08030462265014648,0.30120915174484253
90,riemannian,8,0,1.1384692192077637,1.114880919456482,0.125,2.0721850395202637,2.0721850395202637,64,5760,0.1202012300491333,0.09926414489746094,0.4095837473869324,64,5760,0.128302663564682,0.15136364102363586,0.3943844437599182,64,5760,0.12718206644058228,0.13982029259204865,0.35712236166000366,64,5760,0.12588703632354736,0.1138174757361412,0.37630170583724976,64,5760,0.12616437673568726,0.14049796760082245,0.3555050194263458,64,5760,0.12580516934394836,0.12440763413906097,0.4241963028907776,64,5760,0.1240658164024353,0.11530784517526627,0.3699016273021698,64,5760,0.12239164113998413,0.10687462985515594,0.4041350781917572
100,riemannian,8,0,1.5340498685836792,1.0910472869873047,0.125,2.0711302757263184,2.0711302757263184,64,6400,0.12205770611763,0.17796123027801514,0.5662950277328491,64,6400,0.12269508093595505,0.12352412194013596,0.4732363224029541,64,6400,0.12569589912891388,0.174071803689003,0.6540613174438477,64,6400,0.12364064902067184,0.16605302691459656,0.5044848322868347,64,6400,0.12924253940582275,0.1938449889421463,0.5213170051574707,64,6400,0.13018429279327393,0.23156923055648804,0.6628533601760864,64,6400,0.12545078992843628,0.1637551188468933,0.6915044784545898,64,6400,0.12103303521871567,0.15035952627658844,0.4271833896636963
110,riemannian,8,0,1.1476502418518066,1.071358561515808,0.125,2.071803092956543,2.071803092956543,64,7040,0.11756277829408646,0.11355620622634888,0.3233601450920105,64,7040,0.12788236141204834,0.1290419101715088,0.29003557562828064,64,7040,0.1293717473745346,0.11704885959625244,0.29486578702926636,64,7040,0.12239056080579758,0.10959416627883911,0.267869234085083,64,7040,0.12725625932216644,0.12276584655046463,0.29123160243034363,64,7040,0.12787741422653198,0.1225087121129036,0.30963030457496643,64,7040,0.12417156994342804,0.08851013332605362,0.32369932532310486,64,7040,0.12348731607198715,0.11206761747598648,0.3910556435585022
120,riemannian,8,0,1.0058822631835938,1.0541391372680664,0.125,2.0718326568603516,2.0718326568603516,64,7680,0.12010864913463593,0.06815928965806961,0.28111398220062256,64,7680,0.12518908083438873,0.07430942356586456,0.2899956703186035,64,7680,0.13036784529685974,0.1037561371922493,0.2768464982509613,64,7680,0.12363561987876892,0.07847356796264648,0.2764076888561249,64,7680,0.1268787533044815,0.08854927867650986,0.2931332290172577,64,7680,0.12574172019958496,0.08621565997600555,0.30970290303230286,64,7680,0.12547044456005096,0.09756996482610703,0.3306569755077362,64,7680,0.12260787934064865,0.0823928713798523,0.3036830425262451
130,riemannian,8,0,1.1149816513061523,1.0387766361236572,0.125,2.06927490234375,2.06927490234375,64,8320,0.12174109369516373,0.11482159048318863,0.28899723291397095,64,8320,0.12217498570680618,0.09242116659879684,0.25158002972602844,64,8320,0.12683513760566711,0.1389874666929245,0.33875682950019836,64,8320,0.12392504513263702,0.09983712434768677,0.29024171829223633,64,8320,0.13010340929031372,0.13519255816936493,0.33113595843315125,64,8320,0.1275138407945633,0.1282111406326294,0.3393201231956482,64,8320,0.12463602423667908,0.09229177236557007,0.3397361636161804,64,8320,0.12307044863700867,0.08997643738985062,0.26410970091819763
140,riemannian,8,0,0.9816375374794006,1.02815842628479,0.125,2.0708084106445312,2.0708084106445312,64,8960,0.1197260245680809,0.10233793407678604,0.2987426519393921,64,8960,0.12304355204105377,0.09936625510454178,0.29732805490493774,64,8960,0.13121017813682556,0.12815554440021515,0.2896158993244171,64,8960,0.12689290940761566,0.13124416768550873,0.32217901945114136,64,8960,0.1276445984840393,0.11414124071598053,0.2951028645038605,64,8960,0.12465078383684158,0.13751114904880524,0.3057776093482971,64,8960,0.1250326931476593,0.1013849675655365,0.3291809558868408,64,8960,0.1217992976307869,0.11346215754747391,0.3324098289012909
150,riemannian,8,0,0.8967752456665039,1.0174057483673096,0.125,2.0698676109313965,2.0698678493499756,64,9600,0.12011463940143585,0.1029159277677536,0.28936120867729187,64,9600,0.13255247473716736,0.12897086143493652,0.28938010334968567,64,9600,0.12618723511695862,0.11850380897521973,0.24525082111358643,64,9600,0.12206482887268066,0.09432149678468704,0.264091432094574,64,9600,0.12676912546157837,0.09611749649047852,0.24443382024765015,64,9600,0.1253042221069336,0.11152041703462601,0.27046433091163635,64,9600,0.12152764201164246,0.08360934257507324,0.2812829613685608,64,9600,0.1254798322916031,0.11207673698663712,0.30873584747314453
